,Tweet,Time,nb_favorites
327,starri starri night paint palett blue gray,2022-09-19 06:30:06+00:00,208435
328,starlink now activ contin includ antarctica,2022-09-19 03:26:40+00:00,117520
329,,2022-09-18 03:16:21+00:00,259187
330,starlink meant peac use,2022-09-17 01:48:30+00:00,221510
331,salt butter amaz store room temperatur,2022-09-14 07:38:04+00:00,130812
332,,2022-09-14 03:57:18+00:00,292294
333,blow whistl,2022-09-13 23:02:37+00:00,52007
334,,2022-09-13 18:49:25+00:00,38986
335,tweet suppress,2022-09-13 18:05:36+00:00,131082
336,anyon know secret client twitter right now haha,2022-09-13 17:45:44+00:00,19414
337,rome show underappreci,2022-09-13 16:51:22+00:00,21173
338,,2022-09-13 14:48:08+00:00,49921
339,take moment,2022-09-13 00:16:11+00:00,372001
340,long view gasolin car way view steam engin today,2022-09-12 20:07:08+00:00,179761
341,fsd beta 10 69 2 roll now pleas note top prioriti safeti expect over cautious esp,2022-09-11 21:31:34+00:00,46903
342,falcon arch orbit,2022-09-11 03:00:14+00:00,180581
343,obvious limit rocket reflight far,2022-09-11 02:29:13+00:00,46523
344,take materi scienc 101 regret,2022-09-09 23:52:33+00:00,141061
345,major fed rate hike risk deflat,2022-09-09 23:40:48+00:00,83937
346,tesla north america aim gt 50 hour servic,2022-09-09 22:22:27+00:00,38964
347,rememb,2022-09-08 09:22:07+00:00,107657
348,rt,2022-09-08 04:33:41+00:00,0
349,rt tesla model y receiv highest safeti score vehicl test,2022-09-07 10:42:50+00:00,0
350,punni,2022-09-07 04:19:58+00:00,75819
351,rt enter destin amp tesla automat includ supercharg stop rout,2022-09-07 01:49:58+00:00,0
352,order tesla powerwal batteri blackout protect,2022-09-05 23:50:46+00:00,46813
353,tolkien turn grave,2022-09-05 18:01:44+00:00,286481
354,,2022-09-03 02:06:02+00:00,82423
355,sure sound higher 5,2022-09-01 04:05:27+00:00,92499
356,now launch 5 day,2022-08-31 15:06:53+00:00,59839
357,rt falcon 9 launch starlink orbit spacex s sixth launch month,2022-08-31 15:03:31+00:00,0
358,rt extrem heat durabl test dubai,2022-08-30 22:58:36+00:00,0
359,spent day walk entir giga berlin product line team excel work,2022-08-30 22:50:03+00:00,114212
360,kickass internet connect come royal caribbean ship soon,2022-08-30 22:38:14+00:00,65851
361,happen matter time,2022-08-28 23:51:49+00:00,53603
362,godspe artemi,2022-08-28 23:35:36+00:00,50899
363,time time share thing seem work case find help,2022-08-28 17:54:13+00:00,204012
364,advic good friend fast period amp feel healthier,2022-08-28 17:40:02+00:00,197088
365,squeez extra perform falcon 9 17 metric ton actual use orbit booster amp fai,2022-08-28 05:29:11+00:00,35043
366,rt starlink now avail norway addit better reflect pariti purchas power custom adj,2022-08-28 05:25:34+00:00,0
367,countri increas nuclear power generat insan nation secur standpoint amp bad,2022-08-26 22:27:59+00:00,299881
368,popul collaps due low birth rate much bigger risk civil global warm,2022-08-26 04:27:02+00:00,350316
369,starlink v2 launch next year transmit direct mobil phone elimin dead zone worldwid,2022-08-26 00:13:51+00:00,197305
370,rt watch live elon ceo presid mike sievert announc plan increas connect,2022-08-26 00:06:33+00:00,0
371,livestream big news hour,2022-08-25 22:49:28+00:00,26401
372,someth special,2022-08-24 16:31:54+00:00,42598
373,cours civil alway upward,2022-08-24 07:28:13+00:00,33716
374,mechazilla load starship launchpad,2022-08-24 05:44:21+00:00,159022
375,,2022-08-23 15:52:07+00:00,95593
376,neuralink progress updat show amp tell octob 31 st halloween,2022-08-22 06:57:42+00:00,93241
377,2 main goal year starship orbit fsd wide releas mani thing cours 2,2022-08-22 06:55:01+00:00,75279
378,,2022-08-21 22:08:02+00:00,262104
379,wide releas fsd beta 10 69 2 price fsd rise 15k north america septemb 5th current,2022-08-21 14:40:36+00:00,38746
380,fsd beta 10 69 start roll tesla owner last night build big step forward 10 69 1 probabl,2022-08-21 14:34:21+00:00,23836
381,rt shot dragon s departur,2022-08-20 04:56:56+00:00,0
382,nice letter bill nix prof stanford put grad studi perman deferm,2022-08-19 20:07:52+00:00,149201
383,rt watch falcon 9 launch 53 starlink satellit orbit,2022-08-19 19:23:18+00:00,0
384,rt separ confirm dragon perform three departur burn move away,2022-08-19 15:33:04+00:00,0
385,rt sky perfect jsat select starship launch superbird 9 communic satellit,2022-08-19 14:10:42+00:00,0
386,still grate,2022-08-19 06:04:54+00:00,556011
387,,2022-08-19 03:20:47+00:00,218430
388,magic moment,2022-08-17 09:22:09+00:00,92248
389,mom import career,2022-08-17 08:44:21+00:00,724132
390,high recommend,2022-08-17 08:08:12+00:00,23339
391,standup side hustl,2022-08-17 04:59:51+00:00,153470
392,clear support left half republican parti right half democrat parti,2022-08-16 23:56:43+00:00,361547
393,rt first model y deliveri australia new zealand,2022-08-16 18:39:18+00:00,0
394,congrat giga shanghai make millionth car total tesla made now 3m,2022-08-14 17:26:50+00:00,156788
395,read instruct,2022-08-14 02:08:54+00:00,239080
396,ad 13 inner engin,2022-08-13 04:03:26+00:00,92985
397,anoth orbit plane polar satellit,2022-08-13 03:22:07+00:00,30571
398,mar one day,2022-08-12 05:08:20+00:00,360814
399,seen sex tape,2022-08-12 04:14:03+00:00,665059
400,starship b7 static fire,2022-08-11 16:23:10+00:00,132761
401,fate ironi,2022-08-11 16:02:11+00:00,256675
402,deep thot,2022-08-11 05:40:45+00:00,252864
403,,2022-08-11 05:39:30+00:00,521669
404,8 year ago,2022-08-10 05:34:46+00:00,29038
405,wrote 6 year ago,2022-08-10 05:20:12+00:00,36183
406,,2022-08-10 03:02:16+00:00,192950
407,quit day,2022-08-10 02:59:22+00:00,32636
408,rt static fire test two raptor engin starship 24,2022-08-10 02:59:03+00:00,0
409,rt team starbas complet singl raptor engin static fire test super heavi booster 7 orbit launch pad,2022-08-10 02:59:00+00:00,0
410,,2022-08-07 18:37:37+00:00,107319
411,fsd beta 10 69 drop 8 20,2022-08-07 07:32:26+00:00,67507
412,saxon jame musk,2022-08-06 20:51:30+00:00,40949
413,less 5 twitter daili user fake spam,2022-08-06 16:18:59+00:00,66396
