,Tweet,Time,nb_favorites
291,,2022-10-02 23:29:18+00:00,148992
292,prufrock ii emerg ground,2022-10-02 23:03:40+00:00,71032
293,ancient grudg break new mutini,2022-10-02 18:49:35+00:00,100264
294,rt crew 5 spacex complet full rehears launch day activ,2022-10-02 18:17:56+00:00,0
295,rt 2k model y built giga berlin week,2022-10-02 11:39:04+00:00,0
296,,2022-10-02 11:15:14+00:00,233000
297,record tesla ai day 2022,2022-10-02 01:29:06+00:00,23622
298,rt falcon 9 dragon vertic launch complex 39a target wednesday octob 5 launch crew 5 mission,2022-10-01 19:45:15+00:00,0
299,,2022-10-01 05:21:49+00:00,98346
300,rt,2022-10-01 05:16:39+00:00,0
301,,2022-10-01 03:08:48+00:00,513247
302,natur catgirl version optimus robot,2022-10-01 03:05:34+00:00,107820
303,point ai day show immens depth amp breadth tesla ai comput hardwar amp robot,2022-10-01 02:36:33+00:00,52187
304,rt tesla bot come danc,2022-10-01 01:55:09+00:00,0
305,webcast link,2022-09-30 22:13:26+00:00,16973
306,tesla ai day 2022 start precis 6 15pm california time,2022-09-30 22:08:06+00:00,41693
307,rt powerwal ftw,2022-09-30 14:41:37+00:00,0
308,rt ai day tomorrow,2022-09-30 05:37:30+00:00,0
309,cybertruck waterproof enough serv briefli boat cross river lake amp even sea choppi,2022-09-29 15:31:12+00:00,207402
310,note event meant recruit ai amp robot engin high technic,2022-09-29 14:54:11+00:00,50942
311,starlink maritim system enabl high speed internet connect even heavi sea amp hurrican wind,2022-09-28 23:43:58+00:00,47703
312,last coal shipment arriv hawaii time tesla megapack batteri enabl 24 7 sustain ene,2022-09-28 23:38:46+00:00,44013
313,,2022-09-28 07:16:12+00:00,159198
314,make hair fire metaphor,2022-09-27 23:20:31+00:00,53510
315,,2022-09-27 23:04:38+00:00,47297
316,burnt hair scent men sing,2022-09-27 22:57:09+00:00,44300
317,son saxon amaz mani paper newspap still produc day probabl,2022-09-27 16:50:00+00:00,112372
318,,2022-09-27 16:13:16+00:00,600845
319,falcon 9 fair cam captur 2nd stage plume booster entri burn amp earth twilight,2022-09-27 14:51:58+00:00,89649
320,rt impact success watch s draco camera vend machin size spacecraft success collid astero,2022-09-27 00:57:03+00:00,0
321,,2022-09-25 19:34:40+00:00,239033
322,starlink now 1m user termin manufactur,2022-09-25 19:04:39+00:00,153438
323,rt falcon 9 launch 52 starlink satellit orbit,2022-09-25 10:31:04+00:00,0
324,starlink connect school amazon,2022-09-23 02:59:15+00:00,131135
325,fsd beta 10 69 2 1 look good extend 160k owner amp canada,2022-09-19 20:57:53+00:00,45353
326,baltasar gracián oráculo manual y art de prudencia,2022-09-19 19:33:52+00:00,35415
327,7 engin static fire,2022-09-19 18:30:43+00:00,138011
328,starri starri night paint palett blue gray,2022-09-19 06:30:06+00:00,208429
329,starlink now activ contin includ antarctica,2022-09-19 03:26:40+00:00,117504
